itemId                               ,supplierId                                                                       ,cost    ,Quantity
02a5c492-a013-43e8-9312-cfefb0575cbf ,66863d57-51f4-4f49-bd8d-911ce9ed5dd6                                             ,13.2    ,1
02a71cbf-f1d4-47e5-a7ff-93921600c076 ,1da93033-e7c4-4ee1-9c32-a7d7e3f0ef4b                                             ,0.55    ,1
02a7ab12-9a6a-4496-849e-37d23b29d735 ,236334d0-fa8b-45f4-9235-536ffb041969                                             ,1.88    ,1
02a9121e-8efb-41b4-95b8-f1ad2255969a ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,37.83   ,1
02a98f76-ef6d-4921-9e26-5bde43d0e6b9 ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,43.45   ,1
02acbf6d-5599-43e6-81c8-801f74e0bbf5 ,ffbc5520-4339-4063-a404-f20411de473f                                             ,58.44   ,1
02b4a55e-6ba9-42d6-bfb8-88e8839fe81a ,ffbc5520-4339-4063-a404-f20411de473f                                             ,58.44   ,1
02be97c1-cd25-48e7-8e7b-4e6791c6e523 ,beeb51ed-3932-4d9e-8efa-d73ca372ee52                                             ,35.6    ,1
02bf0a73-1d66-41ca-8446-68de3e57a9ef ,beeb51ed-3932-4d9e-8efa-d73ca372ee52                                             ,7.2     ,1
02c1bae4-d586-4151-811d-45c2381332a6 ,1da93033-e7c4-4ee1-9c32-a7d7e3f0ef4b                                             ,2.12    ,1
02c45837-e2af-4525-8f3d-831d9af10f81 ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,62      ,1
02c492de-05bb-4bd3-aa1b-87d1a4465a26 ,35111ae1-5b41-499e-9b7e-75af92a4490c                                             ,2.57    ,1
02c721a3-3431-4512-b841-268346f49a4c ,31285d39-b162-4746-99c5-80cd9579e880                                             ,67.8    ,1
02cbb2c4-058a-4f5a-832e-6bb48213e34c ,ffbc5520-4339-4063-a404-f20411de473f                                             ,21.64   ,1
02ce51b8-d4a9-48e4-84f1-929bd6d861d7 ,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8                                             ,10      ,1
02d119ed-71b3-4e58-8e4c-fa024bf24ba7 ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,39.5    ,1
02d31388-957f-4734-bdbc-1a5bda319400 ,66863d57-51f4-4f49-bd8d-911ce9ed5dd6                                             ,56.4    ,1
02d333db-4492-46fc-8cf4-7b54a56e77fe ,d9ab6cbc-2a2f-4ff4-af32-8c3e0abb716a                                             ,1.04    ,1
